RGA=350000
25.05.1988	1152.81	1180.84	1152.81	1180.84	0
26.05.1988	1176.42	1181.84	1176.42	1181.84	0
27.05.1988	1185.04	1199.64	1185.04	1199.64	0
30.05.1988	1205.03	1221.60	1205.03	1221.60	0
31.05.1988	1228.88	1235.78	1228.88	1235.78	0
01.06.1988	1262.71	1262.71	1249.40	1249.40	0
02.06.1988	1246.91	1246.91	1237.62	1237.62	0
03.06.1988	1230.10	1242.44	1230.10	1242.44	0
06.06.1988	1244.95	1256.62	1244.95	1256.62	0
07.06.1988	1259.91	1259.91	1255.95	1255.95	0
08.06.1988	1250.79	1271.78	1250.79	1271.78	0
09.06.1988	1300.27	1300.27	1295.59	1295.59	0
10.06.1988	1284.29	1292.43	1284.29	1292.43	0
13.06.1988	1261.53	1271.54	1261.53	1271.54	0
14.06.1988	1268.36	1287.88	1268.36	1287.88	0
15.06.1988	1291.19	1291.19	1280.92	1281.68	0
16.06.1988	1276.76	1277.69	1252.45	1254.93	0
17.06.1988	1245.51	1259.13	1245.51	1259.72	0
20.06.1988	1259.26	1265.12	1259.26	1261.77	0
21.06.1988	1252.09	1256.20	1249.79	1253.77	0
22.06.1988	1268.60	1277.20	1268.37	1280.07	0
23.06.1988	0.00	1287.93	1287.00	1287.93	0
24.06.1988	1307.67	1315.49	1306.93	1316.43	0
27.06.1988	1318.25	1318.33	1303.85	1307.86	0
28.06.1988	0.00	1300.87	1299.28	1300.87	0
29.06.1988	1308.12	1310.94	1307.00	1307.45	0
30.06.1988	1315.75	1318.92	1314.54	1320.17	0
01.07.1988	1320.66	1326.81	1317.23	1328.52	0
04.07.1988	1335.95	1342.49	1335.34	1338.79	0
05.07.1988	1348.30	1355.42	1348.30	1353.43	0
06.07.1988	1367.59	1372.07	1367.10	1370.18	0
07.07.1988	1368.14	1370.51	1364.49	1371.22	0
08.07.1988	1373.73	1375.00	1367.11	1368.96	0
11.07.1988	1357.16	1357.99	1339.22	1339.64	0
12.07.1988	1333.61	1333.61	1322.27	1324.88	0
13.07.1988	1305.01	1306.56	1302.69	1306.17	0
15.07.1988	1307.05	1318.70	1307.05	1316.43	0
18.07.1988	1316.39	1317.33	1292.07	1293.82	0
19.07.1988	1272.01	1276.91	1265.68	1275.52	0
20.07.1988	1276.90	1290.64	1276.90	1290.69	0
21.07.1988	1298.71	1303.71	1296.58	1299.84	0
22.07.1988	1297.82	1302.00	1294.09	1300.54	0
25.07.1988	1296.23	1298.04	1293.54	1296.16	0
26.07.1988	1307.51	1307.93	1303.96	1308.26	0
27.07.1988	1311.88	1312.15	1307.78	1308.93	0
28.07.1988	1304.66	1306.39	1301.15	1305.60	0
29.07.1988	1313.61	1321.54	1312.15	1320.55	0
01.08.1988	1330.04	1331.70	1327.73	1328.80	0
02.08.1988	1333.12	1333.46	1329.25	1331.93	0
03.08.1988	1330.38	1332.50	1327.22	1327.79	0
04.08.1988	1328.11	1328.60	1325.05	1326.98	0
05.08.1988	1325.28	1326.24	1323.29	1324.48	0
