01.1986 	 22.93
02.1986 	 15.45
03.1986 	 12.61
04.1986 	 12.84
05.1986 	 15.38
06.1986 	 13.43
07.1986 	 11.58
08.1986 	 15.10
09.1986 	 14.87
10.1986 	 14.90
11.1986 	 15.22
12.1986 	 16.11
01.1987 	 18.65
02.1987 	 17.75
03.1987 	 18.30
04.1987 	 18.68
05.1987 	 19.44
06.1987 	 20.07
07.1987 	 21.34
08.1987 	 20.31
09.1987 	 19.53
10.1987 	 19.86
11.1987 	 18.85
12.1987 	 17.27
01.1988 	 17.13
02.1988 	 16.80
03.1988 	 16.20
04.1988 	 17.86
05.1988 	 17.42
06.1988 	 16.53
07.1988 	 15.50
08.1988 	 15.52
09.1988 	 14.54
10.1988 	 13.77
11.1988 	 14.14
12.1988 	 16.38
01.1989 	 18.02
02.1989 	 17.94
03.1989 	 19.48
04.1989 	 21.07
05.1989 	 20.12
06.1989 	 20.05
07.1989 	 19.78
08.1989 	 18.58
09.1989 	 19.59
10.1989 	 20.10
11.1989 	 19.86
12.1989 	 21.10
01.1990 	 22.86
02.1990 	 22.11
03.1990 	 20.39
04.1990 	 18.43
05.1990 	 18.20
06.1990 	 16.70
07.1990 	 18.45
08.1990 	 27.31
09.1990 	 33.51
10.1990 	 36.04
11.1990 	 32.33
12.1990 	 27.28
01.1991 	 25.23
02.1991 	 20.48
03.1991 	 19.90
04.1991 	 20.83
05.1991 	 21.23
06.1991 	 20.19
07.1991 	 21.40
08.1991 	 21.69
09.1991 	 21.89
10.1991 	 23.23
11.1991 	 22.46
12.1991 	 19.50
01.1992 	 18.79
02.1992 	 19.01
03.1992 	 18.92
04.1992 	 20.23
05.1992 	 20.98
06.1992 	 22.38
07.1992 	 21.78
08.1992 	 21.34
09.1992 	 21.88
10.1992 	 21.69
11.1992 	 20.34
12.1992 	 19.41
01.1993 	 19.03
02.1993 	 20.09
03.1993 	 20.32
04.1993 	 20.25
05.1993 	 19.95
06.1993 	 19.09
07.1993 	 17.89
08.1993 	 18.01
09.1993 	 17.50
10.1993 	 18.15
11.1993 	 16.61
12.1993 	 14.51
01.1994 	 15.03
02.1994 	 14.78
03.1994 	 14.68
04.1994 	 16.42
05.1994 	 17.89
06.1994 	 19.06
07.1994 	 19.65
08.1994 	 18.38
09.1994 	 17.45
10.1994 	 17.72
11.1994 	 18.07
12.1994 	 17.16
01.1995 	 18.04
02.1995 	 18.57
03.1995 	 18.54
04.1995 	 19.90
05.1995 	 19.74
06.1995 	 18.45
07.1995 	 17.33
08.1995 	 18.02
09.1995 	 18.23
10.1995 	 17.43
11.1995 	 17.99
12.1995 	 19.03
01.1996 	 18.85
02.1996 	 19.09
03.1996 	 21.33
04.1996 	 23.50
05.1996 	 21.17
06.1996 	 20.42
07.1996 	 21.30
08.1996 	 21.90
09.1996 	 23.97
10.1996 	 24.88
11.1996 	 23.70
12.1996 	 25.23
01.1997 	 25.13
02.1997 	 22.18
03.1997 	 20.97
04.1997 	 19.70
05.1997 	 20.82
